n,lo,hi,lo_hex,hi_hex,address,solved,regime,exposed_pubkey,hashes_r1,ops_r2,years_r1,years_r2,tier,method,rank
1,1,1,1,1,1BgGZ9tcN4rm9KBzDn7KprQz87SZ26SAMH,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
2,2,3,2,3,1CUNEBjYrCn2y1SdiUMohaKUi4wpP326Lb,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
3,4,7,4,7,19ZewH8Kk1PDbSNdJ97FP4EiCjTRaZMZQA,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
4,8,15,8,f,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
5,16,31,10,1f,1E6NuFjCi27W5zoXg8TRdcSRq84zJeBW3k,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
6,32,63,20,3f,1PitScNLyp2HCygzadCh7FveTnfmpPbfp8,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
7,64,127,40,7f,1McVt1vMtCC7yn5b9wgX1833yCcLXzueeC,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
8,128,255,80,ff,1M92tSqNmQLYw33fuBvjmeadirh1ysMBxK,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
9,256,511,100,1ff,1CQFwcjw1dwhtkVWBttNLDtqL7ivBonGPV,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
10,512,1023,200,3ff,1LeBZP5QCwwgXRtmVUvTVrraqPUokyLHqe,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
11,1024,2047,400,7ff,1PgQVLmst3Z314JrQn5TNiys8Hc38TcXJu,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
12,2048,4095,800,fff,1DBaumZxUkM4qMQRt2LVWyFJq5kDtSZQot,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
13,4096,8191,1000,1fff,1Pie8JkxBT6MGPz9Nvi3fsPkr2D8q3GBc1,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
14,8192,16383,2000,3fff,1ErZWg5cFCe4Vw5BzgfzB74VNLaXEiEkhk,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
15,16384,32767,4000,7fff,1QCbW9HWnwQWiQqVo5exhAnmfqKRrCRsvW,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
16,32768,65535,8000,ffff,1BDyrQ6WoF8VN3g9SAS1iKZcPzFfnDVieY,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
17,65536,131071,10000,1ffff,1HduPEXZRdG26SUT5Yk83mLkPyjnZuJ7Bm,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
18,131072,262143,20000,3ffff,1GnNTmTVLZiqQfLbAdp9DVdicEnB5GoERE,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
19,262144,524287,40000,7ffff,1NWmZRpHH4XSPwsW6dsS3nrNWfL1yrJj4w,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
20,524288,1048575,80000,fffff,1HsMJxNiV7TLxmoF6uJNkydxPFDog4NQum,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
21,1048576,2097151,100000,1fffff,14oFNXucftsHiUMY8uctg6N487riuyXs4h,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
22,2097152,4194303,200000,3fffff,1CfZWK1QTQE3eS9qn61dQjV89KDjZzfNcv,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
23,4194304,8388607,400000,7fffff,1L2GM8eE7mJWLdo3HZS6su1832NX2txaac,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
24,8388608,16777215,800000,ffffff,1rSnXMr63jdCuegJFuidJqWxUPV7AtUf7,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
25,16777216,33554431,1000000,1ffffff,15JhYXn6Mx3oF4Y7PcTAv2wVVAuCFFQNiP,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
26,33554432,67108863,2000000,3ffffff,1JVnST957hGztonaWK6FougdtjxzHzRMMg,1,SOLVED,0,,,,,SOLVED,n/a - public key released,
